#Class,Base Class,Category,Attachments
AssaultBag_ColorBase,Clothing,SmallBag,Chemlight:WalkieTalkie:Belt_Left
TortillaBag,Clothing,MediumBag,Chemlight:WalkieTalkie:Belt_Left
DryBag_ColorBase,Clothing,MediumBag,X
HuntingBag,Clothing,MediumBag,Chemlight:WalkieTalkie:Belt_Left:Rope
LeatherSack_ColorBase,Clothing,MediumBag,Chemlight:WalkieTalkie:Rope
MountainBag_ColorBase,Clothing,LargeBag,Chemlight:WalkieTalkie:Belt_Left:Rope
CoyoteBag_ColorBase,Clothing,LargeBag,Chemlight:WalkieTalkie:Belt_Left:Rope
AliceBag_ColorBase,Clothing,LargeBag,Chemlight:WalkieTalkie:Belt_Left:Rope
>Belts,X,X,X
CivilianBelt,Clothing,Belt,X
MilitaryBelt,Clothing,Belt,X
LeatherKnifeSheath,Clothing,Sheath,Knife:Whetstone
NylonKnifeSheath,Clothing,Sheath,Knife:Whetstone
LeatherBelt_ColorBase,Clothing,Belt,X
LeatherBelt_Natural,LeatherBelt_ColorBase,Belt,X
LeatherBelt_Beige,LeatherBelt_ColorBase,Belt,X
LeatherBelt_Brown,LeatherBelt_ColorBase,Belt,X
LeatherBelt_Black,LeatherBelt_ColorBase,Belt,X
>Glasses,,,
SportGlasses_ColorBase,Clothing,Hat,X
AviatorGlasses,Clothing,Hat,X
DesignerGlasses,Clothing,Hat,X
ThickFramesGlasses,Clothing,Hat,X
ThinFramesGlasses,Clothing,Hat,X
TacticalGoggles,Clothing,Hat,X
NVGHeadstrap,Clothing,LargeHat,X
>Gloves,,,
WorkingGloves_ColorBase,Clothing,Gloves,X
TacticalGloves_ColorBase,Clothing,Gloves,X
NBCGloves_ColorBase,Clothing,Gloves,X
SurgicalGloves_ColorBase,Clothing,SmallGloves,X
LeatherGloves_ColorBase,Clothing,Gloves,X
OMNOGloves_ColorBase,Clothing,Gloves,X
>Headgear,,,
BallisticHelmet_ColorBase,Clothing,Helmet,X
BaseballCap_ColorBase,Clothing,Hat,X
ZSh3PilotHelmet,Clothing,Helmet,X
ConstructionHelmet_ColorBase,Clothing,Helmet,
BurlapSackCover,Clothing,Hat,X
BeanieHat_ColorBase,Clothing,Hat,X
Ushanka_ColorBase,Clothing,Hat,X
MotoHelmet_ColorBase,Clothing,Helmet,X
DarkMotoHelmet_ColorBase,Clothing,Helmet,X
BandanaHead_ColorBase,Clothing,Hat,X
RadarCap_ColorBase,Clothing,Hat,X
MilitaryBeret_ColorBase,Clothing,Hat,X
FlatCap_ColorBase,Clothing,Hat,X
ZmijovkaCap_ColorBase,Clothing,Hat,X
CowboyHat_ColorBase,Clothing,Hat,X
BoonieHat_ColorBase,Clothing,Hat,X
OfficerHat,Clothing,Hat,X
PoliceCap,Clothing,Hat,X
PilotkaCap,Clothing,Hat,X
TankerHelmet,Clothing,Helmet,X
GorkaHelmet,Clothing,Helmet,X
FirefightersHelmet_ColorBase,Clothing,Helmet,X
SkateHelmet_ColorBase,Clothing,Helmet,X
WeldingMask,Clothing,LargeHat,X
PrisonerCap,Clothing,Hat,X
LeatherHat_ColorBase,Clothing,Hat,X
LeatherHat_Natural,LeatherHat_ColorBase,Hat,X
LeatherHat_Beige,LeatherHat_ColorBase,Hat,X
LeatherHat_Brown,LeatherHat_ColorBase,Hat,X
LeatherHat_Black,LeatherHat_ColorBase,Hat,X
MedicalScrubsHat_ColorBase,Clothing,Hat,X
GreatHelm,Clothing,LargeHat,X
Ssh68Helmet,Clothing,Helmet,X
DirtBikeHelmet_ColorBase,Clothing,Helmet,X
DirtBikeHelmet_Visor,Clothing,Hat,X
DirtBikeHelmet_Mouthguard,Clothing,Hat,X
NBCHoodBase,Clothing,LargeHat,X
HockeyHelmet_ColorBase,Clothing,Helmet,X
SantasHat,Clothing,Hat,X
Mich2001Helmet,Clothing,Helmet,X
Headtorch_ColorBase,Switchable_Base,Hat,X
>Masks,,,
GasMask,Clothing,Gasmask,X
BandanaMask_ColorBase,Clothing,Mask,X
NioshFaceMask,Clothing,Mask,X
BalaclavaMask_ColorBase,Clothing,Mask,X
GP5GasMask,Clothing,Gasmask,X
Balaclava3Holes_ColorBase,Clothing,Mask,X
SantasBeard,Clothing,Mask,X
MouthRag,Clothing,Mask,X
SurgicalMask,Clothing,Mask,X
HockeyMask,Clothing,LargeMask,X
>Pants,,,
Jeans_ColorBase,Clothing,Pants,X
CargoPants_ColorBase,Clothing,Pants,X
TTSKOPants,Clothing,Pants,X
HunterPants_ColorBase,Clothing,Pants,X
CanvasPants_ColorBase,Clothing,Pants,X
CanvasPantsMidi_ColorBase,Clothing,Pants,X
TrackSuitPants_ColorBase,Clothing,Pants,X
GorkaPants_ColorBase,Clothing,Pants,X
PolicePants,Clothing,Pants,X
PolicePantsOrel,Clothing,Pants,X
ParamedicPants_ColorBase,Clothing,Pants,X
FirefightersPants_ColorBase,Clothing,Pants,X
PrisonUniformPants,Clothing,Pants,X
LeatherPants_ColorBase,Clothing,Pants,X
LeatherPants_Natural,LeatherPants_ColorBase,Pants,X
LeatherPants_Beige,LeatherPants_ColorBase,Pants,X
LeatherPants_Brown,LeatherPants_ColorBase,Pants,X
MedicalScrubsPants_ColorBase,Clothing,Pants,X
USMCPants_ColorBase,Clothing,Pants,X
SlacksPants_ColorBase,Clothing,Pants,X
BDUPants,Clothing,Pants,X
NBCPantsBase,Clothing,Pants,X
Breeches_ColorBase,Clothing,Pants,X
ShortJeans_ColorBase,Clothing,Pants,X
Skirt_ColorBase,Clothing,Pants,X
JumpsuitPants_ColorBase,Clothing,Pants,X
>Shoes,,,
AthleticShoes_ColorBase,Clothing,Shoes,X
DressShoes_ColorBase,Clothing,Shoes,X
JoggingShoes_ColorBase,Clothing,Shoes,X
LeatherShoes_ColorBase,Clothing,Shoes,X
LeatherShoes_Black,LeatherShoes_ColorBase,Shoes,X
LeatherShoes_Natural,LeatherShoes_ColorBase,Shoes,X
LeatherShoes_Brown,LeatherShoes_ColorBase,Shoes,X
LeatherShoes_Beige,LeatherShoes_ColorBase,Shoes,X
Sneakers_ColorBase,Clothing,Shoes,X
NBCBootsBase,Clothing,Shoes,X
Ballerinas_ColorBase,Clothing,Shoes,X
HikingBoots_ColorBase,Clothing,Boots,X
HikingBootsLow_ColorBase,Clothing,Boots,X
Wellies_ColorBase,Clothing,Boots,X
WorkingBoots_ColorBase,Clothing,Boots,X
JungleBoots_ColorBase,Clothing,Boots,X
MilitaryBoots_ColorBase,Clothing,Boots,X
CombatBoots_ColorBase,Clothing,Boots,X
TTSKOBoots,Clothing,Boots,X
>Tops,,,
Armband_ColorBase,Clothing,Armband,X
TelnyashkaShirt,Clothing,Shirt,X
ChernarusSportShirt,Clothing,Shirt,X
MedicalScrubsShirt_ColorBase,Clothing,Shirt,X
TShirt_ColorBase,Clothing,Shirt,X
Shirt_ColorBase,Clothing,Shirt,X
Blouse_ColorBase,Clothing,Shirt,X
Sweater_ColorBase,Clothing,Shirt,X
MiniDress_ColorBase,Clothing,Shirt,X
LabCoat,Clothing,Shirt,X
NurseDress_ColorBase,Clothing,Shirt,X
DenimJacket,Clothing,Shirt,X
JumpsuitJacket_ColorBase,Clothing,Shirt,X
Hoodie_ColorBase,Clothing,Jacket,X
Raincoat_ColorBase,Clothing,Jacket,X
PrisonUniformJacket,Clothing,Jacket,X
TrackSuitJacket_ColorBase,Clothing,Jacket,X
PoliceJacket,Clothing,Jacket,X
PoliceJacketOrel,Clothing,Jacket,X
ParamedicJacket_ColorBase,Clothing,Jacket,X
LeatherJacket_ColorBase,Clothing,Jacket,X
LeatherJacket_Natural,LeatherJacket_ColorBase,Jacket,X
LeatherJacket_Beige,LeatherJacket_ColorBase,Jacket,X
LeatherJacket_Brown,LeatherJacket_ColorBase,Jacket,X
LeatherJacket_Black,LeatherJacket_ColorBase,Jacket,X
NBCJacketBase,Clothing,Jacket,X
ManSuit_ColorBase,Clothing,Jacket,X
WomanSuit_ColorBase,Clothing,Jacket,X
LeatherShirt_ColorBase,Clothing,Jacket,X
LeatherShirt_Natural,LeatherShirt_ColorBase,Jacket,X
TacticalShirt_ColorBase,Clothing,Jacket,X
HikingJacket_ColorBase,Clothing,Jacket,X
M65Jacket_ColorBase,Clothing,Jacket,X
TTsKOJacket_ColorBase,Clothing,Jacket,X
GorkaEJacket_ColorBase,Clothing,Jacket,X
RidersJacket_ColorBase,Clothing,Jacket,X
WoolCoat_ColorBase,Clothing,Jacket,X
FirefighterJacket_ColorBase,Clothing,Jacket,X
QuiltedJacket_ColorBase,Clothing,Jacket,X
BomberJacket_ColorBase,Clothing,Jacket,X
HuntingJacket_ColorBase,Clothing,Jacket,X
USMCJacket_ColorBase,Clothing,Jacket,X
BDUJacket,Clothing,Jacket,X
>Vests,,,
SmershVest,Clothing,Vest,X
PressVest_ColorBase,Clothing,Vest,X
UKAssVest_ColorBase,Clothing,Vest,X
PoliceVest,Clothing,Vest,X
PlateCarrierHolster,Clothing,Holster,X
ChestHolster,Clothing,Holster,X
HighCapacityVest_ColorBase,Clothing,Vest,X
LeatherStorageVest_ColorBase,Clothing,Vest,X
LeatherStorageVest_Natural,LeatherStorageVest_ColorBase,Vest,X
LeatherStorageVest_Beige,LeatherStorageVest_ColorBase,Vest,X
LeatherStorageVest_Brown,LeatherStorageVest_ColorBase,Vest,X
LeatherStorageVest_Black,LeatherStorageVest_ColorBase,Vest,X
HuntingVest,Clothing,Vest,X
ReflexVest,Clothing,Vest,X
